SN,Point Num,Title,Center Point Rel,Circle Point Rel,Center Point Abs,Circle Point Abs,Slope,Angle,Timestamp,Validity,Distance
20,2,Point star value,[63.20677948 91.41255188  8.53539944],[33.65075232 94.48938946  8.16634583],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1339984.41663828 10506285.34986267     2566.30892396],0.01241946202730023,-5.875892767415367,Nov-05-2022 14:26:31,False,29.71803949994836
21,2,Point star value,[63.20677948 91.41255188  8.53539944],[93.18569183 90.44503021  7.87378597],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340043.9515778  10506281.30550342     2566.0163641 ],0.02205781070951445,-1.8758927674153671,Nov-05-2022 14:26:31,True,30.00181688586597
22,2,Point star value,[63.20677948 91.41255188  8.53539944],[93.19199371 92.54432678  7.81811762],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340043.95787968 10506283.40479999     2565.96069574],0.023904162335231304,2.124107232584633,Nov-05-2022 14:26:31,True,30.015137518581657
23,2,Point star value,[63.20677948 91.41255188  8.53539944],[93.0357132  94.58208466  7.81551456],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340043.80159916 10506285.44255787     2565.95809269],0.02399867941284391,6.124107232584633,Nov-05-2022 14:26:31,True,30.00549047873964
24,2,Point star value,[63.20677948 91.41255188  8.53539944],[92.73272705 96.66962433  7.81551456],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340043.49861302 10506287.53009754     2565.95809269],0.024003919725405474,10.124107232584633,Nov-05-2022 14:26:31,True,29.9989437299789
25,2,Point star value,[63.20677948 91.41255188  8.53539944],[92.34182739 98.65731049  7.60805941],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340043.10771336 10506289.5177837      2565.75063753],0.030888390329849535,14.124107232584633,Nov-05-2022 14:26:31,True,30.036602731674446
26,2,Point star value,[63.20677948 91.41255188  8.53539944],[ 91.75090027 100.71750641   6.80166817],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340042.51678624 10506291.57797962     2564.94424629],0.05774777944813022,18.124107232584635,Nov-05-2022 14:26:31,True,30.072492987644356
27,2,Point star value,[63.20677948 91.41255188  8.53539944],[ 90.9838411  102.67370935   7.57942414],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340041.74972707 10506293.53418256     2565.72200227],0.031894582122047065,22.124107232584635,Nov-05-2022 14:26:31,False,29.988209491489346
28,2,Point star value,[63.20677948 91.41255188  8.53539944],[ 84.037804   101.68215995   7.15800619],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340034.80368996 10506292.54263316     2565.30058432],0.05930672115007344,26.124107232584635,Nov-05-2022 14:26:31,False,23.265718226464102
29,2,Point star value,[63.20677948 91.41255188  8.53539944],[ 80.03624405 101.11093577   7.03495479],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340030.80213002 10506291.97140898     2565.17753291],0.07724717468198707,30.124107232584635,Nov-05-2022 14:26:31,False,19.481808488422665
